,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,POSTAL,ROAD_NAME,X,Y
28491, 34 MOUNT SINAI AVENUE MOUNT SINAI SINGAPORE 277174 ,34,MOUNT SINAI,1.316114,103.780731,277174,MOUNT SINAI AVENUE,22147.56386,33154.78831
128879, 20 ATTAP VALLEY ROAD SINGAPORE 759909 ,20,NIL,1.458462,103.795535,759909,ATTAP VALLEY ROAD,23795.26233,48894.8169
136374, 19E NIM ROAD ESTE VILLA SINGAPORE 804997 ,19E,ESTE VILLA,1.382184,103.863937,804997,NIM ROAD,31407.47018,40460.38521
123637, 43 SUNGEI KADUT STREET 4 SUNGEI KADUT INDUSTRIAL ESTATE SINGAPORE 729061 ,43,SUNGEI KADUT INDUSTRIAL ESTATE,1.42173,103.748448,729061,SUNGEI KADUT STREET 4,18555.09564,44833.39011
122235, 36 VERDE AVENUE VILLA VERDE SINGAPORE 688304 ,36,VILLA VERDE,1.391001,103.751502,688304,VERDE AVENUE,18894.85739,41435.54337
50417, 3 LENGKONG ENAM SINGAPORE 417574 ,3,NIL,1.326886,103.914109,417574,LENGKONG ENAM,36991.11546,34346.00745
55212, 16 LORONG G TELOK KURAU SINGAPORE 426180 ,16,NIL,1.316268,103.9067,426180,LORONG G TELOK KURAU,36166.67967,33171.83908
61841, 6 MARINE PARADE CENTRAL SINGAPORE 449411 ,6,NIL,1.301347,103.907184,449411,MARINE PARADE CENTRAL,36220.5153,31521.98649
21909, 2 JERVOIS ROAD SPC RIVER VALLEY SINGAPORE 248994 ,2,SPC RIVER VALLEY,1.293337,103.825886,248994,JERVOIS ROAD,27172.85068,30636.16971
59534, 307B TANJONG KATONG ROAD SINGAPORE 437090 ,307B,NIL,1.306241,103.896101,437090,TANJONG KATONG ROAD,34987.04941,32063.14999
121938, 154A JALAN TECK WHYE MULTI STOREY CAR PARK SINGAPORE 681154 ,154A,MULTI STOREY CAR PARK,1.379186,103.757532,681154,JALAN TECK WHYE,19565.85249,40129.07158
6759, 369 PASIR PANJANG ROAD WINDSOR CONVALESCENT HOME SINGAPORE 118706 ,369,WINDSOR CONVALESCENT HOME,1.289924,103.774139,118706,PASIR PANJANG ROAD,21413.83461,30258.88428
132857, 3 SPRINGLEAF VIEW SPRINGLEAF GARDEN SINGAPORE 787909 ,3,SPRINGLEAF GARDEN,1.397678,103.820176,787909,SPRINGLEAF VIEW,26537.36716,42173.69822
